Prompt,Gst launch pipeline
Provide a GStreamer pipeline to flip the incoming video stream by 90 degrees counter-clockwise.,gst-launch-1.0 uridecodebin uri=file:///opt/nvidia/deepstream/deepstream/samples/streams/sample_720p.mp4 ! nvvideoconvert  flip-method=1  ! nveglglessink
Provide gstreamer pipeline to crop the incoming video frame to specific window,gst-launch-1.0 uridecodebin uri=file:///opt/nvidia/deepstream/deepstream/samples/streams/sample_720p.mp4 ! nvvideoconvert  src-crop=0:0:500:500 ! nveglglessink
Provide gstreamer pipeline to display the incoming video frame to a specific window,gst-launch-1.0 uridecodebin uri=file:///opt/nvidia/deepstream/deepstream/samples/streams/sample_720p.mp4 ! nvvideoconvert  dest-crop=0:0:500:500 ! nveglglessink
Provide gstreamer pipeline to dump/store the incoming video frame to a mp4 file,gst-launch-1.0 filesrc location=/opt/nvidia/deepstream/deepstream/samples/streams/sample_720p.mp4 ! decodebin ! nvvideoconvert ! nvv4l2h264enc ! h264parse ! qtmux ! filesink location=out.mp4
Provide gstreamer pipeline which dump/converts the RGBA frame/image to RGB,"gst-launch-1.0 filesrc location=img.jpg ! decodebin ! videoconvert ! nvvideoconvert ! video/x-raw,format=RGB ! filesink location=out.rgb"
Provide gstreamer pipeline which dump/converts the NV12 frame/image to RGB,"gst-launch-1.0 filesrc location=img.jpg ! videoparse format=23 width=128 height=256 ! nvvideoconvert !  video/x-raw,format=RGB ! filesink location=out.jpg"
Provide gstreamer pipeline which dump/converts the frame/image to I420 JPEG,"gst-launch-1.0 filesrc location=image.jpg ! pngdec ! videoconvert ! ""video/x-raw, format=I420"" ! jpegenc ! filesink location=out.jpg"
Provide gstreamer pipeline which display the NV12  content image,gst-launch-1.0 filesrc location=img.nv12 ! videoparse width=1280 height=720 format=nv12 ! videoconvert ! xvimagesink
Provide gstreamer pipeline which display theYUV content image,gst-launch-1.0 filesrc location=img.yuv ! videoparse width=320 height=240 format=2 ! videoconvert ! xvimagesink
Provide a GStreamer pipeline to rotate the incoming video stream by 180 degrees.,gst-launch-1.0 uridecodebin uri=file:///opt/nvidia/deepstream/deepstream/samples/streams/sample_720p.mp4 ! nvvideoconvert flip-method=2 ! nveglglessink
Provide a GStreamer pipeline to flip the incoming video stream by 90 degrees clockwise.,gst-launch-1.0 uridecodebin uri=file:///opt/nvidia/deepstream/deepstream/samples/streams/sample_720p.mp4 ! nvvideoconvert flip-method=3 ! nveglglessink
Provide a GStreamer pipeline to flip the incoming video stream horizontally.,gst-launch-1.0 uridecodebin uri=file:///opt/nvidia/deepstream/deepstream/samples/streams/sample_720p.mp4 ! nvvideoconvert flip-method=4 ! nveglglessink
Provide a GStreamer pipeline to flip the incoming video stream across the upper right/lower left diagonal.,gst-launch-1.0 uridecodebin uri=file:///opt/nvidia/deepstream/deepstream/samples/streams/sample_720p.mp4 ! nvvideoconvert flip-method=5 ! nveglglessink
Provide a GStreamer pipeline to flip the incoming video stream vertically.,gst-launch-1.0 uridecodebin uri=file:///opt/nvidia/deepstream/deepstream/samples/streams/sample_720p.mp4 ! nvvideoconvert flip-method=6 ! nveglglessink
Provide a GStreamer pipeline to flip the incoming video stream across the upper left/lower right diagonal.,gst-launch-1.0 uridecodebin uri=file:///opt/nvidia/deepstream/deepstream/samples/streams/sample_720p.mp4 ! nvvideoconvert flip-method=7 ! nveglglessink
Provide a GStreamer pipeline to resize the incoming video to a specific height and width,"gst-launch-1.0 uridecodebin uri=file:///opt/nvidia/deepstream/deepstream/samples/streams/sample_720p.mp4 ! nvvideoconvert ! ""video/x-raw(memory:NVMM),format=NV12,width=400,height=400"" ! nvvideoconvert ! nveglglessink"
Provide a GStreamer pipeline to resize the incoming video with nearest interpolation method.,"gst-launch-1.0 uridecodebin uri=file:///opt/nvidia/deepstream/deepstream/samples/streams/sample_720p.mp4 ! nvvideoconvert interpolation-method=0 ! ""video/x-raw(memory:NVMM),format=NV12,width=400,height=400"" !  nveglglessink"
Provide a GStreamer pipeline to resize the incoming video with bilinear interpolation method.,"gst-launch-1.0 uridecodebin uri=file:///opt/nvidia/deepstream/deepstream/samples/streams/sample_720p.mp4 ! nvvideoconvert interpolation-method=1 ! ""video/x-raw(memory:NVMM),format=NV12,width=400,height=400""  ! nveglglessink"
Provide a GStreamer pipeline to resize the incoming video with cubic interpolation method (Algo-1).,"gst-launch-1.0 uridecodebin uri=file:///opt/nvidia/deepstream/deepstream/samples/streams/sample_720p.mp4 ! nvvideoconvert interpolation-method=2 ! ""video/x-raw(memory:NVMM),format=NV12,width=400,height=400"" !  nveglglessink"
Provide a GStreamer pipeline to resize the incoming video with super interpolation method (Algo-2).,"gst-launch-1.0 uridecodebin uri=file:///opt/nvidia/deepstream/deepstream/samples/streams/sample_720p.mp4 ! nvvideoconvert interpolation-method=3 ! ""video/x-raw(memory:NVMM),format=NV12,width=400,height=400"" ! nveglglessink"
Provide a GStreamer pipeline to resize the incoming video with Lanczos interpolation method (Algo-3).,"gst-launch-1.0 uridecodebin uri=file:///opt/nvidia/deepstream/deepstream/samples/streams/sample_720p.mp4 ! nvvideoconvert interpolation-method=4 ! ""video/x-raw(memory:NVMM),format=NV12,width=400,height=400""  ! nveglglessink"
Provide a GStreamer pipeline to resize the incoming video with nicest interpolation method (Algo-4).,"gst-launch-1.0 uridecodebin uri=file:///opt/nvidia/deepstream/deepstream/samples/streams/sample_720p.mp4 ! nvvideoconvert interpolation-method=5 ! ""video/x-raw(memory:NVMM),format=NV12,width=400,height=400"" !  nveglglessink"
Provide a GStreamer pipeline to resize the incoming video with default interpolation method.,"gst-launch-1.0 uridecodebin uri=file:///opt/nvidia/deepstream/deepstream/samples/streams/sample_720p.mp4 ! nvvideoconvert interpolation-method=6 ! ""video/x-raw(memory:NVMM),format=NV12,width=400,height=400"" !  nveglglessink"
Provide a GStreamer pipeline to display 200 buffers only.,gst-launch-1.0 filesrc location=/opt/nvidia/deepstream/deepstream/samples/streams/sample_720p.mp4 num-buffers=200 ! decodebin ! nvvideoconvert ! nveglglessink
Provide a GStreamer pipeline to dump/stores  only 200 buffers of a given video.,gst-launch-1.0 filesrc location=/opt/nvidia/deepstream/deepstream/samples/streams/sample_720p.mp4 num-buffers=200 ! decodebin ! nvvideoconvert ! nvv4l2h264enc ! h264parse ! qtmux ! filesink location=out.mp4
Provide a GStreamer pipeline which display a video with its horizontal flipped version side by side,gst-launch-1.0 nvstreammux name=mux batch-size=2 width=1920 height=1080 ! nvvideoconvert ! nvstreamdemux name=demux filesrc location=/opt/nvidia/deepstream/deepstream/samples/streams/sample_720p_mjpeg.mp4 ! qtdemux ! jpegparse ! nvv4l2decoder ! queue ! mux.sink_0 filesrc location=/opt/nvidia/deepstream/deepstream/samples/streams/sample_720p_mjpeg.mp4 ! qtdemux ! jpegparse ! nvv4l2decoder  ! queue ! mux.sink_1 demux.src_0 ! queue ! nvvideoconvert ! queue ! combined_mux.sink_0 nvstreammux name=combined_mux batch-size=2 width=1920 height=1080 ! nvmultistreamtiler rows=1 columns=2 ! nvvideoconvert ! nvdsosd ! nveglglessink demux.src_1 ! queue ! nvvideoconvert flip-method=4 ! combined_mux.sink_1
Generate a GStreamer pipeline to convert BGR10A2_LE to I420 and display it,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGR10A2_LE, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420,width=1280,height=720' ! nveglglessink"
